content_id,content_group_id,account_id,title,platform,topic,content_type,title_style,cover_style,publish_time,duration_sec,production_hours,followers_before,views,likes,favorites,comments,shares,new_followers,consultations,conversions,revenue,cost,ad_spend,series_id,novelty_score,duplication_risk,user_fatigue_risk
C001,G-001,A1,为什么你的商用机器人内容有流量却没成交？,xiaohongshu,商用机器人,tutorial,pain_point,human_scene,2026-07-22T03:58:37.371365,218,5.8,910000,11931,978,573,54,132,53,55,18,16167.6,1030.61,196.54,robot_growth,0.89,0.47,0.5
C002,G-001,A2,桌面陪伴机器人从 0 到 1 实操指南,bilibili,桌面陪伴机器人,tutorial,tutorial,before_after,2026-07-23T03:58:37.371365,277,4.0,120000,11252,353,1176,135,209,30,53,16,20784.0,257.36,0.97,robot_growth,0.61,0.4,0.49
C003,G-001,A3,一个真实案例：我们如何卖出第一批AI工具,douyin,AI工具,case_study,case_study,clean_product,2026-07-24T03:58:37.371365,391,5.8,120000,23322,1916,918,164,222,115,92,25,7475.0,903.4,748.24,creator_ops,0.85,0.47,0.14
C004,G-001,A1,提升副业增长转化的 7 个动作,wechat,副业增长,tutorial,number,human_scene,2026-07-24T18:58:37.371365,357,1.9,38000,13494,819,495,328,146,57,51,9,8091.0,1180.14,673.56,creator_ops,0.74,0.36,0.33
C005,G-002,A2,用产品化服务拿到第一笔稳定收入,xiaohongshu,产品化服务,tutorial,result_oriented,human_scene,2026-07-26T06:58:37.371365,244,1.3,910000,8176,308,812,74,71,37,42,11,9889.0,553.78,383.68,creator_ops,0.73,0.47,0.16
C006,G-002,A3,商业案例现在还值得做吗？,bilibili,商业案例,tutorial,question,clean_product,2026-07-26T18:58:37.371365,156,5.2,120000,12610,342,712,223,191,54,33,11,5920.2,724.87,255.43,creator_ops,0.44,0.14,0.46
C007,G-002,A1,为什么你的商用机器人内容有流量却没成交？,douyin,商用机器人,tutorial,pain_point,clean_product,2026-07-28T06:58:37.371365,112,5.7,910000,26518,1024,2660,437,224,28,127,49,114571.8,326.96,213.41,robot_growth,0.64,0.07,0.53
C008,G-002,A2,桌面陪伴机器人从 0 到 1 实操指南,wechat,桌面陪伴机器人,tutorial,tutorial,before_after,2026-07-29T06:58:37.371365,399,4.8,120000,11817,391,1193,70,40,32,126,34,44166.0,1237.29,561.46,robot_growth,0.48,0.1,0.17
C009,G-003,A3,一个真实案例：我们如何卖出第一批AI工具,xiaohongshu,AI工具,case_study,case_study,before_after,2026-07-30T06:58:37.371365,148,2.9,910000,8675,488,774,61,41,18,43,13,16887.0,353.59,625.5,creator_ops,0.92,0.29,0.29
C010,G-003,A1,提升副业增长转化的 7 个动作,bilibili,副业增长,tutorial,number,data_card,2026-07-30T21:58:37.371365,221,6.3,120000,12768,499,694,160,191,16,67,19,17081.0,610.91,670.88,creator_ops,0.42,0.39,0.14
C011,G-003,A2,用产品化服务拿到第一笔稳定收入,douyin,产品化服务,tutorial,result_oriented,human_scene,2026-07-31T18:58:37.371365,187,7.3,910000,23949,1272,1533,167,397,52,76,17,15283.0,1361.1,114.39,creator_ops,0.75,0.26,0.36
C012,G-003,A3,商业案例现在还值得做吗？,wechat,商业案例,tutorial,question,before_after,2026-08-01T21:58:37.371365,269,7.0,910000,12390,530,901,283,239,60,111,36,84175.2,528.71,474.02,creator_ops,0.51,0.41,0.36
C013,G-004,A1,为什么你的商用机器人内容有流量却没成交？,xiaohongshu,商用机器人,tutorial,pain_point,data_card,2026-08-02T18:58:37.371365,88,3.1,120000,9930,264,1026,88,94,36,36,8,7185.6,1301.62,338.31,robot_growth,0.4,0.19,0.55
C014,G-004,A2,桌面陪伴机器人从 0 到 1 实操指南,bilibili,桌面陪伴机器人,tutorial,tutorial,data_card,2026-08-04T06:58:37.371365,187,1.3,38000,10768,543,1115,51,144,59,50,13,16887.0,494.19,226.57,robot_growth,0.72,0.45,0.09
C015,G-004,A3,一个真实案例：我们如何卖出第一批AI工具,douyin,AI工具,case_study,case_study,before_after,2026-08-05T03:58:37.371365,410,5.7,910000,24192,1335,1657,526,402,124,44,15,19485.0,1223.86,80.05,creator_ops,0.88,0.12,0.54
C016,G-004,A1,提升副业增长转化的 7 个动作,wechat,副业增长,tutorial,number,before_after,2026-08-06T06:58:37.371365,386,2.5,120000,12162,703,728,234,164,28,114,42,37758.0,642.09,446.07,creator_ops,0.47,0.45,0.54
C017,G-005,A2,用产品化服务拿到第一笔稳定收入,xiaohongshu,产品化服务,tutorial,result_oriented,before_after,2026-08-07T06:58:37.371365,329,2.2,910000,9192,426,583,149,167,16,44,9,8091.0,589.44,227.26,creator_ops,0.58,0.48,0.34
C018,G-005,A3,商业案例现在还值得做吗？,bilibili,商业案例,tutorial,question,before_after,2026-08-07T21:58:37.371365,288,2.9,120000,10964,275,641,147,34,39,60,19,44425.8,166.94,347.35,creator_ops,0.58,0.28,0.44
C019,G-005,A1,为什么你的商用机器人内容有流量却没成交？,douyin,商用机器人,tutorial,pain_point,clean_product,2026-08-09T06:58:37.371365,188,5.9,120000,28915,1721,1323,635,321,102,69,17,27509.4,198.01,336.58,robot_growth,0.56,0.43,0.42
C020,G-005,A2,桌面陪伴机器人从 0 到 1 实操指南,wechat,桌面陪伴机器人,tutorial,tutorial,data_card,2026-08-09T18:58:37.371365,164,7.0,38000,13997,907,957,345,67,82,130,32,28768.0,1185.56,753.69,robot_growth,0.41,0.35,0.46
C021,G-006,A3,一个真实案例：我们如何卖出第一批AI工具,xiaohongshu,AI工具,case_study,case_study,data_card,2026-08-10T21:58:37.371365,334,5.2,910000,10454,843,997,180,113,25,23,6,5394.0,282.55,344.73,creator_ops,0.52,0.49,0.28
C022,G-006,A1,提升副业增长转化的 7 个动作,bilibili,副业增长,tutorial,number,data_card,2026-08-11T21:58:37.371365,353,2.5,38000,12171,782,702,194,59,63,38,12,10788.0,1243.07,542.96,creator_ops,0.53,0.48,0.57
C023,G-006,A2,用产品化服务拿到第一笔稳定收入,douyin,产品化服务,tutorial,result_oriented,clean_product,2026-08-12T18:58:37.371365,141,1.7,120000,21103,1018,2066,401,416,56,76,13,16887.0,1264.36,296.13,creator_ops,0.5,0.54,0.25
C024,G-006,A3,商业案例现在还值得做吗？,wechat,商业案例,tutorial,question,before_after,2026-08-14T03:58:37.371365,209,4.1,38000,13096,692,540,162,191,64,71,20,32364.0,1399.22,499.48,creator_ops,0.67,0.5,0.48
C025,G-007,A1,为什么你的商用机器人内容有流量却没成交？,xiaohongshu,商用机器人,tutorial,pain_point,human_scene,2026-08-15T03:58:37.371365,399,3.7,910000,11727,353,986,159,143,14,38,15,13473.0,641.08,184.24,robot_growth,0.81,0.21,0.48
C026,G-007,A2,桌面陪伴机器人从 0 到 1 实操指南,bilibili,桌面陪伴机器人,tutorial,tutorial,human_scene,2026-08-15T21:58:37.371365,47,5.5,910000,11249,898,776,140,195,37,32,8,2392.0,918.17,303.09,robot_growth,0.47,0.28,0.55
C027,G-007,A3,一个真实案例：我们如何卖出第一批AI工具,douyin,AI工具,case_study,case_study,human_scene,2026-08-16T18:58:37.371365,235,2.7,120000,21455,1344,2199,476,355,45,33,6,2994.0,788.69,663.07,creator_ops,0.81,0.26,0.49
C028,G-007,A1,提升副业增长转化的 7 个动作,wechat,副业增长,tutorial,number,data_card,2026-08-17T21:58:37.371365,354,4.6,38000,12472,641,1044,101,100,34,115,22,28578.0,919.5,443.13,creator_ops,0.75,0.24,0.14
C029,G-008,A2,用产品化服务拿到第一笔稳定收入,xiaohongshu,产品化服务,tutorial,result_oriented,data_card,2026-08-18T18:58:37.371365,210,2.4,38000,8194,574,828,111,44,11,40,11,3289.0,447.98,648.54,creator_ops,0.48,0.08,0.08
C030,G-008,A3,商业案例现在还值得做吗？,bilibili,商业案例,tutorial,question,before_after,2026-08-19T21:58:37.371365,137,6.7,910000,11949,351,703,245,211,29,56,13,11676.6,196.3,353.2,creator_ops,0.69,0.25,0.59
C031,G-008,A1,为什么你的商用机器人内容有流量却没成交？,douyin,商用机器人,tutorial,pain_point,before_after,2026-08-20T21:58:37.371365,51,3.8,910000,25840,1145,1768,266,124,40,143,57,51197.4,685.93,286.87,robot_growth,0.43,0.1,0.26
C032,G-008,A2,桌面陪伴机器人从 0 到 1 实操指南,wechat,桌面陪伴机器人,tutorial,tutorial,before_after,2026-08-21T21:58:37.371365,223,6.5,120000,12942,889,1579,132,56,57,95,20,5980.0,192.57,368.14,robot_growth,0.41,0.14,0.24
C033,G-009,A3,一个真实案例：我们如何卖出第一批AI工具,xiaohongshu,AI工具,case_study,case_study,human_scene,2026-08-23T06:58:37.371365,219,4.3,38000,10397,374,663,170,39,18,50,13,6487.0,1107.41,93.39,creator_ops,0.63,0.07,0.59
C034,G-009,A1,提升副业增长转化的 7 个动作,bilibili,副业增长,tutorial,number,before_after,2026-08-24T06:58:37.371365,125,7.1,38000,11290,463,1183,53,97,40,44,18,8982.0,822.36,721.4,creator_ops,0.38,0.49,0.47
C035,G-009,A2,用产品化服务拿到第一笔稳定收入,douyin,产品化服务,tutorial,result_oriented,human_scene,2026-08-24T18:58:37.371365,150,2.3,38000,23876,1538,1013,226,334,50,141,26,23374.0,578.58,67.18,creator_ops,0.56,0.47,0.36
C036,G-009,A3,商业案例现在还值得做吗？,wechat,商业案例,tutorial,question,data_card,2026-08-26T06:58:37.371365,117,2.4,120000,11740,757,1155,145,53,32,100,30,48546.0,385.18,505.71,creator_ops,0.72,0.22,0.27
